"VMID","VMNAME","VMSIZE","NICID","NICID1","PRIVATEIP"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-demo-rg/providers/Microsoft.Compute/virtualMachines/UEMCSQLDEMOU1","UEMCSQLDEMOU1","Standard_E16s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-demo-rg/providers/Microsoft.Network/networkInterfaces/UEMCSQLDEMOU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-demo-rg/providers/Microsoft.Network/networkInterfaces/UEMCSQLDEMOU1-nic","10.33.0.163"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-demo-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIADEMOU1","UEMCTRIADEMOU1","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-demo-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIADEMOU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-demo-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIADEMOU1-nic","10.33.0.183"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-demo-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIBDEMOU1","UEMCTRIBDEMOU1","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-demo-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIBDEMOU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-demo-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIBDEMOU1-nic","10.33.0.164"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-demo-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIPDEMOU1","UEMCTRIPDEMOU1","Standard_D8s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-demo-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPDEMOU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-demo-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPDEMOU1-nic","10.33.0.184"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-flex-rg/providers/Microsoft.Compute/virtualMachines/UEMCSQLFLEXU1","UEMCSQLFLEXU1","Standard_E8s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-flex-rg/providers/Microsoft.Network/networkInterfaces/uemcsqlflexu1562","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-flex-rg/providers/Microsoft.Network/networkInterfaces/uemcsqlflexu1562","10.33.0.157"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-flex-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIAFLEXU1","UEMCTRIAFLEXU1","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-flex-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIAFLEXU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-flex-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIAFLEXU1-nic","10.33.0.21"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-flex-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIBFLEXU1","UEMCTRIBFLEXU1","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-flex-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIBFLEXU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-flex-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIBFLEXU1-nic","10.33.0.98"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-flex-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIPFLEXU1","UEMCTRIPFLEXU1","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-flex-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPFLEXU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-flex-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPFLEXU1-nic","10.33.0.99"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-gdi-rg/providers/Microsoft.Compute/virtualMachines/UEMCSQLGDIU1","UEMCSQLGDIU1","Standard_E16s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-gdi-rg/providers/Microsoft.Network/networkInterfaces/uemcsqlgdiu1325","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-gdi-rg/providers/Microsoft.Network/networkInterfaces/uemcsqlgdiu1325","10.33.0.167"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-gdi-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIAGDIU1","UEMCTRIAGDIU1","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-gdi-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIAGDIU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-gdi-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIAGDIU1-nic","10.33.0.33"
